[19:26:24] [ERR] Failed to check the state of sock (session id: 07c89cbf-b381-4539-8429-81a2e0c619da, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:26:33] [ERR] Failed to check the state of sock (session id: 07c89cbf-b381-4539-8429-81a2e0c619da, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:26:43] [ERR] Failed to check the state of sock (session id: 07c89cbf-b381-4539-8429-81a2e0c619da, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:26:53] [ERR] Failed to check the state of sock (session id: 07c89cbf-b381-4539-8429-81a2e0c619da, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:27:03] [ERR] Failed to check the state of sock (session id: 07c89cbf-b381-4539-8429-81a2e0c619da, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:27:05] ⚠️ Slack 연결 끊김 — 재연결 대기 중...
[19:27:05] 🔄 5초 후 재연결 시도... (#1)
[19:27:18] 🟢 Slack 재연결 성공
[19:28:05] [ERR] Failed to check the state of sock (session id: 158d2499-3bec-4c46-a84c-9026f0a52fdf, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:28:15] [ERR] Failed to check the state of sock (session id: 158d2499-3bec-4c46-a84c-9026f0a52fdf, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[19:28:25] [ERR] Failed to check the state of sock (session id: 158d2499-3bec-4c46-a84c-9026f0a52fdf, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[19:28:35] [ERR] Failed to check the state of sock (session id: 158d2499-3bec-4c46-a84c-9026f0a52fdf, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:28:45] [ERR] Failed to check the state of sock (session id: 158d2499-3bec-4c46-a84c-9026f0a52fdf, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:30:07] [ERR] Failed to check the state of sock (session id: 26e13f6d-557c-4a10-95ea-ac949388371a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:30:17] [ERR] Failed to check the state of sock (session id: 26e13f6d-557c-4a10-95ea-ac949388371a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:30:27] [ERR] Failed to check the state of sock (session id: 26e13f6d-557c-4a10-95ea-ac949388371a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:30:37] [ERR] Failed to check the state of sock (session id: 26e13f6d-557c-4a10-95ea-ac949388371a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:30:47] [ERR] Failed to check the state of sock (session id: 26e13f6d-557c-4a10-95ea-ac949388371a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:31:48] [ERR] Failed to check the state of sock (session id: c1c54d7e-15e6-49d6-a09d-1b72b7d38752, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:31:58] [ERR] Failed to check the state of sock (session id: c1c54d7e-15e6-49d6-a09d-1b72b7d38752, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:32:08] [ERR] Failed to check the state of sock (session id: c1c54d7e-15e6-49d6-a09d-1b72b7d38752, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:32:18] [ERR] Failed to check the state of sock (session id: c1c54d7e-15e6-49d6-a09d-1b72b7d38752, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:32:28] [ERR] Failed to check the state of sock (session id: c1c54d7e-15e6-49d6-a09d-1b72b7d38752, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[19:33:50] [ERR] Failed to check the state of sock (session id: 7fb7704c-9f5c-4b65-b8bf-760a4977976e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
