[00:00:49] [ERR] Failed to check the state of sock (session id: f159ec44-efd2-46c7-804b-d5a9aa9ddb6a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:00:59] [ERR] Failed to check the state of sock (session id: f159ec44-efd2-46c7-804b-d5a9aa9ddb6a, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:01:09] [ERR] Failed to check the state of sock (session id: f159ec44-efd2-46c7-804b-d5a9aa9ddb6a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:01:19] [ERR] Failed to check the state of sock (session id: f159ec44-efd2-46c7-804b-d5a9aa9ddb6a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:01:29] [ERR] Failed to check the state of sock (session id: f159ec44-efd2-46c7-804b-d5a9aa9ddb6a, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:02:50] [ERR] Failed to check the state of sock (session id: be9e701a-24ce-46b3-b5af-463e4b7b8f18, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:03:00] [ERR] Failed to check the state of sock (session id: be9e701a-24ce-46b3-b5af-463e4b7b8f18, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:03:10] [ERR] Failed to check the state of sock (session id: be9e701a-24ce-46b3-b5af-463e4b7b8f18, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:03:20] [ERR] Failed to check the state of sock (session id: be9e701a-24ce-46b3-b5af-463e4b7b8f18, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:03:30] [ERR] Failed to check the state of sock (session id: be9e701a-24ce-46b3-b5af-463e4b7b8f18, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:04:41] [ERR] Failed to check the state of sock (session id: c60f1fc3-8da4-499b-a35c-2d6eecebdcea, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
