[00:00:25] [ERR] Failed to check the state of sock (session id: aabec772-2d4a-4cfd-aeab-27e0cdb9a9e4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:00:35] [ERR] Failed to check the state of sock (session id: aabec772-2d4a-4cfd-aeab-27e0cdb9a9e4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:00:45] [ERR] Failed to check the state of sock (session id: aabec772-2d4a-4cfd-aeab-27e0cdb9a9e4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:00:55] [ERR] Failed to check the state of sock (session id: aabec772-2d4a-4cfd-aeab-27e0cdb9a9e4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:01:05] [ERR] Failed to check the state of sock (session id: aabec772-2d4a-4cfd-aeab-27e0cdb9a9e4, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:02:26] [ERR] Failed to check the state of sock (session id: 77c238a5-9b93-4e65-acbf-b52f17e04372, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:02:36] [ERR] Failed to check the state of sock (session id: 77c238a5-9b93-4e65-acbf-b52f17e04372, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:02:46] [ERR] Failed to check the state of sock (session id: 77c238a5-9b93-4e65-acbf-b52f17e04372, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:02:56] [ERR] Failed to check the state of sock (session id: 77c238a5-9b93-4e65-acbf-b52f17e04372, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:03:06] [ERR] Failed to check the state of sock (session id: 77c238a5-9b93-4e65-acbf-b52f17e04372, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:04:27] [ERR] Failed to check the state of sock (session id: a4e8a07e-e87c-4626-b7b4-40c101ec33df, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:04:37] [ERR] Failed to check the state of sock (session id: a4e8a07e-e87c-4626-b7b4-40c101ec33df, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:04:47] [ERR] Failed to check the state of sock (session id: a4e8a07e-e87c-4626-b7b4-40c101ec33df, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:04:57] [ERR] Failed to check the state of sock (session id: a4e8a07e-e87c-4626-b7b4-40c101ec33df, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:05:07] [ERR] Failed to check the state of sock (session id: a4e8a07e-e87c-4626-b7b4-40c101ec33df, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:06:28] [ERR] Failed to check the state of sock (session id: d8f0e087-1aaf-472c-b17c-0ce7563b0a61, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:06:38] [ERR] Failed to check the state of sock (session id: d8f0e087-1aaf-472c-b17c-0ce7563b0a61, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:06:48] [ERR] Failed to check the state of sock (session id: d8f0e087-1aaf-472c-b17c-0ce7563b0a61, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:06:58] [ERR] Failed to check the state of sock (session id: d8f0e087-1aaf-472c-b17c-0ce7563b0a61, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:07:08] [ERR] Failed to check the state of sock (session id: d8f0e087-1aaf-472c-b17c-0ce7563b0a61, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:08:09] [ERR] Failed to check the state of sock (session id: 66472ff0-9f4d-46ce-bf9f-75fa43959bab, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:08:19] [ERR] Failed to check the state of sock (session id: 66472ff0-9f4d-46ce-bf9f-75fa43959bab, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:08:29] [ERR] Failed to check the state of sock (session id: 66472ff0-9f4d-46ce-bf9f-75fa43959bab, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
