[00:00:03] [ERR] Failed to check the state of sock (session id: 1ac5a31b-c2a3-4d24-a862-7f4f4b355a4b, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:00:54] [ERR] Failed to check the state of sock (session id: f78c5e8c-4e31-4b9c-8572-a731fff88034, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:01:04] [ERR] Failed to check the state of sock (session id: f78c5e8c-4e31-4b9c-8572-a731fff88034, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:01:14] [ERR] Failed to check the state of sock (session id: f78c5e8c-4e31-4b9c-8572-a731fff88034, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:01:24] [ERR] Failed to check the state of sock (session id: f78c5e8c-4e31-4b9c-8572-a731fff88034, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:01:34] [ERR] Failed to check the state of sock (session id: f78c5e8c-4e31-4b9c-8572-a731fff88034, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:02:45] [ERR] Failed to check the state of sock (session id: 0fa094f7-2628-489f-a637-d96402010417, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:02:55] [ERR] Failed to check the state of sock (session id: 0fa094f7-2628-489f-a637-d96402010417, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:03:05] [ERR] Failed to check the state of sock (session id: 0fa094f7-2628-489f-a637-d96402010417, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:03:15] [ERR] Failed to check the state of sock (session id: 0fa094f7-2628-489f-a637-d96402010417, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:03:25] [ERR] Failed to check the state of sock (session id: 0fa094f7-2628-489f-a637-d96402010417, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:04:56] [ERR] Failed to check the state of sock (session id: f44e5217-8a9b-434e-b0c8-9a07cdabd281, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:05:06] [ERR] Failed to check the state of sock (session id: f44e5217-8a9b-434e-b0c8-9a07cdabd281, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:05:16] [ERR] Failed to check the state of sock (session id: f44e5217-8a9b-434e-b0c8-9a07cdabd281, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[00:05:26] [ERR] Failed to check the state of sock (session id: f44e5217-8a9b-434e-b0c8-9a07cdabd281, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:05:36] [ERR] Failed to check the state of sock (session id: f44e5217-8a9b-434e-b0c8-9a07cdabd281, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:06:57] [ERR] Failed to check the state of sock (session id: e5e16aa3-260b-40b3-8748-319d4ef1843a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:07:07] [ERR] Failed to check the state of sock (session id: e5e16aa3-260b-40b3-8748-319d4ef1843a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[00:07:17] [ERR] Failed to check the state of sock (session id: e5e16aa3-260b-40b3-8748-319d4ef1843a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
